"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
Haret Gueneina Hassan Chalabi,12,62,34,96
Haret Mohammed Chabaka,20,163,182,345
Haret Hassanein el Zayat,9,47,53,100
Haret Farghal,3,22,14,36
Haret Sid Ahmad el Marhoumi,16,54,63,117
Haret Moursi Ahmad el Mizayen,7,29,25,54
Haret el Dayah,6,29,27,56
Haret Ibrahim Abou Hassan,16,65,76,141
Haret Amer,20,78,81,159
Zawiet el Hag Soleiman,10,34,38,72
Haret Hassan Siriakoussi,9,52,44,96
Haret Wabour Mohammed Afifi,7,27,19,46
Haret Ahmad Hammad,6,38,28,66
Haret Tourk Om Salem,19,91,96,187
Haret el Fahira,53,236,217,453
Haret Wabour Mohammed Afifi,25,70,59,129
Sans résidence fixe,,186,18,204
,376,1847,1704,3551
El Dekheila,,,,
El Dekheila,244,1220,1030,2250
,244,1220,1030,2250
Souk el Wardian,,,,
Charé'h el Mex,18,67,54,121
Atfet Ibrahim el Ghawi,19,57,64,121
Atfet el Toubguieh,24,80,78,158
Atfet el Selouk,4,8,5,13
Atfet el Hakim,191,838,840,1678
Atfet el Youssara,101,500,459,959
,357,1550,1500,3050
Campements,,,,
Bédoains à Souk el Wardian,,2486,642,3128
,,2488,642,3128
"MOHARREM BEY w. MINET EL BASSAL - Kism 5, r. 8",,,,
Amoud el Sawari,,,,
Minet el Bassal w. Kobri Hasseb,5,18,6,24
Minet el Bassal,3,165,5,170
Haret Gadallah,14,171,120,291
Charé'h Kom el Choukafa w. Gamé'h Cha’at,17,98,94,192
Haret Ahmad Aly el Naggar,20,123,101,224
Haret Mohammed Abdel Rub w. Ahmad Chata,28,187,179,366
Haret Mohammed Waked,23,96,79,175
Haret Aly Hamchara,25,91,82,173
Haret Ibrahim Hassan,20,100,93,193
Haret Ismail Younès,21,81,91,172
Haret Mohammed Abou Hachem,20,67,77,144
Haret Hussein Hassan,18,68,55,123
Haret Mahmoud Ata,20,49,53,102
Haret Abdallah el Derini,21,65,70,135
Haret Mohammed Abou el Seoud,21,73,78,151
Haret el Saffouri,16,60,59,119
Haret Bassiouni Bassiouni,17,57,52,109
Haret Khafagui,19,63,67,130
Haret Ibrahim Abou Chams,16,42,41,83
Haret Abou Gabr,22,72,86,158
Haret Hassan el Fiki,21,47,48,95
Haret Abou Zayed,24,63,67,130
Haret El Ghassal,17,68,72,140
Haret Barouf,,,,
Sans résidence fixe,,237,49,286
,428,2161,1724,3885
Charki Bab el Guédid,,,,
Charé'h el Sekka el Hadid,93,471,473,944
Charé'h Moharrem Bey,8,45,44,89
Charé'h el Manchieh,28,73,81,154
Charé'h Moharrem Bey,81,522,482,1004
Charé'h el Hadika,39,98,114,212
Charé'h Gueneinet el Bawab,95,432,443,875
Charé'h Ezbet Ghorbal,23,51,59,110
Charé'h Paolino,109,467,442,909
Charé'h Chat el Mahmoudieh,33,80,63,143
Charé'h Gamé'h Soultan,53,111,92,203
Charé'h el Hadika,24,147,154,301
Charé'h Haret Echech el Sabil,60,166,169,335
Khartet Gamé'h el Hadari w. Gheit el Bawab,72,320,299,619
,718,2983,2915,5898
Bab Omar Pacha,,,,
Haret el Hamamsi,19,92,101,193
Haret el Arini,37,257,263,520
Haret Sallam,38,280,294,574
Haret el Tawil,37,229,229,458
Haret el Sayed Charaf,31,178,195,373
Haret Makardous,24,102,134,236
Haret Abdel Halim,26,123,129,252
Haret el Fakharani,29,177,180,357
Haret Ismaïl Batta,35,233,213,446
Haret el Kasfariti,28,172,185,357
Haret Ibrahim Sanad,38,184,185,369
Gabal Nubar Pacha,130,798,709,1507
Charé'h el Amoud,31,165,167,332
Haret Beltagui Abou Mandour,25,147,160,307
